day0,day1,day2,day3,day4,day5,day6,day7,day8,day9
Ohio State,VCU,Dayton,SF Austin,Stanford,Michigan,Florida,Uconn,,
Dayton,SF Austin,Syracuse,UCLA,Dayton,Tennessee,Dayton,Michigan State,,
Wisconsin,UCLA,Pittsburgh,Stanford,Wisconsin,Iowa St.,Arizona,Kentucky,,
American,Tulsa,Florida,Kansas,Baylor,UConn,Wisconsin,Michigan,,
Colorado,New Mexico,Wisconsin,Virginia,Florida,Louisville,,,,
Pittsburgh,Stanford,Oregon,Memphis,UCLA,Kentucky,,,,
Cincinnati,Kansas,Harvard,North Carolina,Arizona,Virginia,,,,
Harvard,E Kentucky,Michigan State,Iowa St.,San Diego State,Michigan State,,,,
Syracuse,Virginia,Texas,Arizona,,,,,,
Western Michigan,Coastal Carolina,Michigan,Gonzaga,,,,,,
Oregon,Memphis,San Diego State,Baylor,,,,,,
BYU,George Washington,North Dakota State,Creighton,,,,,,
Florida,North Carolina,Villanova,Wichita St.,,,,,,
Albany,Providence,UConn,Kentucky,,,,,,
Michigan State,Iowa St.,Louisville,Tennessee,,,,,,
Delaware,NC Central,Saint Louis,Mercer,,,,,,
UConn,Arizona,,,,,,,,
Saint Joseph,Webber St.,,,,,,,,
Michigan,Gonzaga,,,,,,,,
Wofford,Oklahoma St.,,,,,,,,
Saint Louis,Baylor,,,,,,,,
North Carolina State,Nebraska,,,,,,,,
Oklahoma,Creighton,,,,,,,,
North Dakota State,LA Lafayette,,,,,,,,
Villanova,Wichita St.,,,,,,,,
Milwaukee,Cal Poly,,,,,,,,
Texas,Kentucky,,,,,,,,
Arizona State,K State,,,,,,,,
Louisville,Tennessee,,,,,,,,
Manhattan,Massachusettes,,,,,,,,
San Diego State,Duke,,,,,,,,
New Mexico State,Mercer,,,,,,,,
